# id	category	locale	text	aliases
# Bilingual corpus. English is the universal fallback; Spanish is used for es locales.
country_001	countries	es	AFGANISTÁN	
country_002	countries	es	ALBANIA	
country_003	countries	es	ALEMANIA	
country_004	countries	es	ANDORRA	
country_005	countries	es	ANGOLA	
country_006	countries	es	ANTIGUA Y BARBUDA	
country_007	countries	es	ARABIA SAUDITA	
country_008	countries	es	ARGELIA	
country_009	countries	es	ARGENTINA	
country_010	countries	es	ARMENIA	
country_011	countries	es	AUSTRALIA	
country_012	countries	es	AUSTRIA	
country_013	countries	es	AZERBAIYÁN	
country_014	countries	es	BAHAMAS	
country_015	countries	es	BANGLADÉS	
country_016	countries	es	BARBADOS	
country_017	countries	es	BARÉIN	
country_018	countries	es	BÉLGICA	
country_019	countries	es	BELICE	
country_020	countries	es	BENÍN	
country_021	countries	es	BIELORRUSIA	
country_022	countries	es	BOLIVIA	
country_023	countries	es	BOSNIA Y HERZEGOVINA	
country_024	countries	es	BOTSUANA	
country_025	countries	es	BRASIL	
country_026	countries	es	BRUNÉI	
country_027	countries	es	BULGARIA	
country_028	countries	es	BURKINA FASO	
country_029	countries	es	BURUNDI	
country_030	countries	es	BUTÁN	
country_031	countries	es	CABO VERDE	
country_032	countries	es	CAMBOYA	
country_033	countries	es	CAMERÚN	
country_034	countries	es	CANADÁ	
country_035	countries	es	CATAR	
country_036	countries	es	CHAD	
country_037	countries	es	CHILE	
country_038	countries	es	CHINA	
country_039	countries	es	CHIPRE	
country_040	countries	es	COLOMBIA	
country_041	countries	es	COMORAS	
country_042	countries	es	COREA DEL NORTE	
country_043	countries	es	COREA DEL SUR	
country_044	countries	es	COSTA DE MARFIL	
country_045	countries	es	COSTA RICA	
country_046	countries	es	CROACIA	
country_047	countries	es	CUBA	
country_048	countries	es	DINAMARCA	
country_049	countries	es	DOMINICA	
country_050	countries	es	ECUADOR	
country_051	countries	es	EGIPTO	
country_052	countries	es	EL SALVADOR	
country_053	countries	es	EMIRATOS ÁRABES UNIDOS	
country_054	countries	es	ERITREA	
country_055	countries	es	ESLOVAQUIA	
country_056	countries	es	ESLOVENIA	
country_057	countries	es	ESPAÑA	
country_058	countries	es	ESTADOS UNIDOS	
country_059	countries	es	ESTONIA	
country_060	countries	es	ESUATINI	
country_061	countries	es	ETIOPÍA	
country_062	countries	es	FILIPINAS	
country_063	countries	es	FINLANDIA	
country_064	countries	es	FIYI	
country_065	countries	es	FRANCIA	
country_066	countries	es	GABÓN	
country_067	countries	es	GAMBIA	
country_068	countries	es	GEORGIA	
country_069	countries	es	GHANA	
country_070	countries	es	GRANADA	
country_071	countries	es	GRECIA	
country_072	countries	es	GUATEMALA	
country_073	countries	es	GUINEA	
country_074	countries	es	GUINEA BISÁU	
country_075	countries	es	GUINEA ECUATORIAL	
country_076	countries	es	GUYANA	
country_077	countries	es	HAITÍ	
country_078	countries	es	HONDURAS	
country_079	countries	es	HUNGRÍA	
country_080	countries	es	INDIA	
country_081	countries	es	INDONESIA	
country_082	countries	es	IRAK	
country_083	countries	es	IRÁN	
country_084	countries	es	IRLANDA	
country_085	countries	es	ISLANDIA	
country_086	countries	es	ISLAS MARSHALL	
country_087	countries	es	ISLAS SALOMÓN	
country_088	countries	es	ISRAEL	
country_089	countries	es	ITALIA	
country_090	countries	es	JAMAICA	
country_091	countries	es	JAPÓN	
country_092	countries	es	JORDANIA	
country_093	countries	es	KAZAJISTÁN	
country_094	countries	es	KENIA	
country_095	countries	es	KIRGUISTÁN	
country_096	countries	es	KIRIBATI	
country_097	countries	es	KUWAIT	
country_098	countries	es	LAOS	
country_099	countries	es	LESOTO	
country_100	countries	es	LETONIA	
country_101	countries	es	LÍBANO	
country_102	countries	es	LIBERIA	
country_103	countries	es	LIBIA	
country_104	countries	es	LIECHTENSTEIN	
country_105	countries	es	LITUANIA	
country_106	countries	es	LUXEMBURGO	
country_107	countries	es	MACEDONIA DEL NORTE	
country_108	countries	es	MADAGASCAR	
country_109	countries	es	MALASIA	
country_110	countries	es	MALAUI	
country_111	countries	es	MALDIVAS	
country_112	countries	es	MALÍ	
country_113	countries	es	MALTA	
country_114	countries	es	MARRUECOS	
country_115	countries	es	MAURICIO	
country_116	countries	es	MAURITANIA	
country_117	countries	es	MÉXICO	
country_118	countries	es	MICRONESIA	
country_119	countries	es	MOLDAVIA	
country_120	countries	es	MÓNACO	
country_121	countries	es	MONGOLIA	
country_122	countries	es	MONTENEGRO	
country_123	countries	es	MOZAMBIQUE	
country_124	countries	es	MYANMAR	
country_125	countries	es	NAMIBIA	
country_126	countries	es	NAURU	
country_127	countries	es	NEPAL	
country_128	countries	es	NICARAGUA	
country_129	countries	es	NÍGER	
country_130	countries	es	NIGERIA	
country_131	countries	es	NORUEGA	
country_132	countries	es	NUEVA ZELANDA	
country_133	countries	es	OMÁN	
country_134	countries	es	PAÍSES BAJOS	
country_135	countries	es	PAKISTÁN	
country_136	countries	es	PALAOS	
country_137	countries	es	PALESTINA	
country_138	countries	es	PANAMÁ	
country_139	countries	es	PAPÚA NUEVA GUINEA	
country_140	countries	es	PARAGUAY	
country_141	countries	es	PERÚ	
country_142	countries	es	POLONIA	
country_143	countries	es	PORTUGAL	
country_144	countries	es	REINO UNIDO	
country_145	countries	es	REPÚBLICA CENTROAFRICANA	
country_146	countries	es	REPÚBLICA DEL CONGO	
country_147	countries	es	CONGO DEMOCRÁTICO	
country_148	countries	es	REPÚBLICA DOMINICANA	
country_149	countries	es	RUANDA	
country_150	countries	es	RUMANIA	
country_151	countries	es	RUSIA	
country_152	countries	es	SAMOA	
country_153	countries	es	SAN CRISTÓBAL Y NIEVES	
country_154	countries	es	SAN MARINO	
country_155	countries	es	SAN VICENTE Y LAS GRANADINAS	
